id,center_x,center_y,time,x,y,w,h
43,390,842,101,377.0,817.0,26.0,50.0
21,1014,655,102,1001.0,633.0,26.0,44.0
55,675,620,102,661.0,603.0,28.0,35.0
43,390,843,102,377.0,818.0,26.0,51.0
29,1097,1024,102,1070.0,1014.0,55.0,20.0
59,345,660,102,326.0,640.0,39.0,41.0
84,674,766,102,662.0,751.0,25.0,30.0
55,675,620,103,661.0,603.0,28.0,35.0
84,674,766,103,662.0,750.0,25.0,33.0
29,1094,1025,103,1067.0,1014.0,55.0,22.0
59,346,660,103,326.0,639.0,41.0,42.0
21,1013,654,103,1002.0,633.0,23.0,43.0
84,674,769,104,662.0,752.0,25.0,34.0
55,675,621,104,661.0,603.0,28.0,36.0
29,1094,1024,104,1068.0,1014.0,53.0,20.0
59,347,660,104,326.0,640.0,42.0,41.0
21,1013,660,104,1002.0,643.0,23.0,34.0
21,1014,660,105,1003.0,643.0,22.0,34.0
59,347,660,105,326.0,640.0,42.0,41.0
55,675,621,105,661.0,603.0,28.0,36.0
84,669,774,105,652.0,752.0,35.0,44.0
29,1096,1024,105,1071.0,1014.0,50.0,20.0
59,343,664,106,326.0,647.0,35.0,34.0
55,675,620,106,661.0,602.0,28.0,37.0
21,1011,655,106,996.0,633.0,31.0,45.0
29,1088,1026,106,1058.0,1015.0,61.0,23.0
84,701,856,106,682.0,843.0,38.0,27.0
59,343,664,107,326.0,647.0,35.0,34.0
43,393,852,107,382.0,832.0,23.0,41.0
84,707,856,107,682.0,843.0,51.0,27.0
55,675,620,107,661.0,602.0,28.0,37.0
21,1011,656,107,995.0,636.0,32.0,41.0
29,1087,1027,107,1057.0,1016.0,60.0,22.0
59,343,664,108,326.0,647.0,35.0,34.0
43,392,862,108,380.0,833.0,24.0,58.0
21,1011,656,108,995.0,636.0,33.0,41.0
55,675,620,108,661.0,602.0,28.0,37.0
84,713,859,108,694.0,847.0,39.0,24.0
29,1084,1026,108,1054.0,1015.0,61.0,23.0
59,343,664,109,326.0,647.0,35.0,34.0
55,675,621,109,661.0,604.0,28.0,35.0
43,395,853,109,386.0,833.0,18.0,40.0
84,713,857,109,694.0,847.0,39.0,21.0
29,1083,1026,109,1053.0,1014.0,61.0,24.0
113,909,863,109,886.0,853.0,47.0,20.0
21,1012,656,109,995.0,636.0,34.0,41.0
59,343,664,110,326.0,647.0,35.0,34.0
84,712,857,110,694.0,847.0,37.0,21.0
21,1012,657,110,995.0,636.0,34.0,42.0
43,393,854,110,382.0,835.0,22.0,39.0
29,1081,1026,110,1052.0,1014.0,59.0,24.0
64,327,421,110,304.0,406.0,46.0,30.0
55,675,623,110,662.0,607.0,27.0,32.0
59,343,664,111,326.0,647.0,35.0,34.0
